CODIGO,DESCRIPCION,CATEGORIA,COSTO,PRECIO,MEDIDA
CA-AST-AN,"Cinta antideslizante color: amarillo / negro de (5 cm)2"" x 18 mts",cintas seguridad,32.00,"60,00",rollo
CA-AST-AM,"Cinta antideslizante color: amarillo de (5 cm)2"" x 18 mts",cintas seguridad,32.00,"60,00",rollo
CA-3M-fot,"Rollo cinta antideslizante 2"" x18 mts fotoluminiscente 3M",cintas seguridad,456.00,456.00,rollo
CA-3M-am,"Rollo Cinta Antideslizante 2""x18mts Amarillo - 3M",cintas seguridad,0.00,0.00,rollo
C02-5,Extintor c02 5 libras con certificado,lucha contra incendio,100.00,100.00,und
c02-10,Extintor co2 10 libras con certificado,lucha contra incendio,220.00,220.00,und
bot40x50,Botiquin de madera 40 x50 cm con llave,articulos seguridad,"45,00","65,00",und
bot30x40,Botiquin de madera 30 x40 cm,articulos seguridad,"14,00","23,00",und
bot20X30,Botiquin de madera 20 x30 cm,articulos seguridad,"12,00","18,00",und
bot-LN-sm,Botiquin tipo lonchera de plastico mediano equipado con 13 medicamentos genericos.,articulos seguridad,"15,00","25,00",und
bot-LN-LG,Botiquin tipo lonchera de plastico grande equipado con 13 medicamentos genericos.,articulos seguridad,"20,00","35,00",und
BR-AN,Barra retractil amarillo reflectivo 2.1 mts,proteccion vial,"13,00","25,00",und
bot-pa,Botas punta de acero normado,epp,70.00,"70,00",und
BOT-EC,Botas seguridad economicas nacional,epp,28.00,"28,00",und
bn-mm-2,"Señal para obras marco de madera con liston de 2x2"" + banner de 12 onzas templado",obras,0.00,"0,00",60x80cm
bn-mm,"Señal para obras marco de madera con liston de 1x2"" + banner de 12 onzas templado",obras,0.00,"0,00",60x80cm
bn,Señal impresion banner 12 oz,seguridad,0.00,"15,00",60x80cm
AL,Señal en aluminio espesor = 0.5 mm pictograma: vinil rotulado incluye cinta de doble contacto en 4 puntas para instalación,,"5,00","15,00",20x30cm
ac-dd,Señal vinil laminado aplicado en soporte acrilico de 2 mm con dobles de 5 cm y doble cara,seguridad,0.00,"0,00",20x30cm
AC-D,Señal acrÍlico una cara con dobles de 5 cm espesor: 2 mm pictograma: vinil laminado,seguridad,0.00,"25,00",20x30cm
AC-3,Señal acrÍlico espesor: 3 mm pictograma: vinil laminado aplicado al espejo,seguridad,0.00,"15,00",20x30cm
AC-3,Señal vinil laminado aplicado en soporte acrilico de 3 mm,seguridad,0.00,"0,00",20x30cm
AC,Señal acrÍlico espesor: 2 mm pictograma: vinil laminado aplicado al espejo,seguridad,0.00,"15,00",20x30cm
AC,Señal vinil laminado aplicado en soporte acrilico de 2 mm,seguridad,0.00,"0,00",20x30cm
